,level_0,index,group,sum_gamerounds,retention_1,retention_7
0,0,0,A,38,True,False
1,1,1,B,165,True,False
2,2,2,B,1,False,False
3,3,3,B,179,True,True
4,4,4,B,187,True,True
5,6,6,B,2,False,False
6,7,7,B,108,True,True
7,8,8,B,153,True,False
8,9,9,B,3,False,True
9,11,11,B,30,True,False
10,12,12,A,39,True,False
11,13,13,A,305,True,True
12,14,14,A,73,True,False
13,15,15,A,14,True,False
14,16,16,A,204,True,True
15,17,17,A,108,True,True
16,18,18,B,1,False,False
17,19,19,B,9,True,False
18,20,20,A,5,True,False
19,21,21,B,45,True,False
20,22,22,A,105,False,True
21,23,23,A,4,False,False
22,24,24,A,3,False,False
23,26,26,B,80,True,True
24,27,27,B,4,False,False
25,28,28,A,5,False,False
26,29,29,B,53,True,True
27,30,30,A,37,True,False
28,31,31,A,13,True,False
29,32,32,A,50,False,False
30,33,33,B,202,True,True
31,35,35,A,23,False,False
32,37,37,A,103,False,False
33,38,38,A,27,False,False
34,39,39,B,15,False,False
35,41,41,B,1,False,False
36,42,42,B,49,True,False
37,43,43,A,7,False,False
38,44,44,A,386,True,True
39,45,45,B,25,True,False
40,46,46,A,1,False,False
41,47,47,A,13,True,False
42,48,48,A,12,True,False
43,49,49,B,6,False,False
44,50,50,A,25,True,False
45,51,51,A,29,True,False
46,52,52,A,136,True,False
47,53,53,A,105,True,True
48,54,54,B,10,True,False
49,55,55,B,76,False,False
50,56,56,B,138,False,False
51,58,58,A,94,True,True
52,59,59,B,1,False,False
53,61,61,B,26,True,False
54,62,62,B,127,True,False
55,63,63,B,6,False,False
56,64,64,B,4,False,False
57,65,65,A,21,False,False
58,66,66,B,297,True,True
59,67,67,B,108,True,True
60,68,68,A,45,True,False
61,69,69,B,33,False,False
62,71,71,A,80,False,False
63,72,72,A,21,False,False
64,73,73,B,3,False,False
65,74,74,A,139,True,True
66,75,75,A,14,False,False
67,76,76,A,50,True,False
68,77,77,B,14,False,False
69,78,78,B,14,False,False
70,79,79,A,9,False,False
71,80,80,B,3,False,False
72,82,82,A,10,False,False
73,83,83,B,4,False,False
74,84,84,A,5,True,False
75,85,85,A,2,False,False
76,87,87,A,3,True,False
77,88,88,B,10,True,False
78,89,89,A,19,False,True
79,91,91,B,5,False,False
80,92,92,B,16,True,False
81,93,93,B,95,True,False
82,94,94,B,3,False,False
83,95,95,A,8,False,False
84,96,96,B,8,False,False
85,97,97,B,1,False,False
86,98,98,B,3,False,False
87,99,99,B,1,False,False
88,100,100,A,6,False,False
89,101,101,B,106,False,True
90,102,102,A,22,True,False
91,103,103,B,1,False,False
92,104,104,A,11,False,False
93,105,105,B,4,False,False
94,106,106,B,21,False,False
95,107,107,B,8,False,False
96,108,108,A,246,True,True
97,110,110,B,6,False,False
98,111,111,A,16,False,False
99,112,112,B,49,True,False
100,113,113,B,54,True,True
101,114,114,A,66,True,True
102,116,116,A,122,True,True
103,117,117,A,75,True,False
104,118,118,A,3,False,False
105,119,119,B,17,False,False
106,120,120,A,1,True,False
107,121,121,A,24,False,False
108,122,122,A,3,False,False
109,123,123,A,11,True,False
110,124,124,B,7,False,False
111,125,125,A,47,True,False
112,126,126,B,1,False,False
113,127,127,B,4,False,False
114,128,128,A,31,True,False
115,129,129,A,13,False,False
116,130,130,A,22,True,False
117,131,131,A,6,True,False
118,132,132,B,1,False,False
119,133,133,B,2,False,False
120,134,134,A,24,True,False
121,135,135,A,6,False,False
122,136,136,B,6,False,False
123,137,137,A,24,True,False
124,138,138,B,9,False,False
125,139,139,B,34,False,False
126,140,140,B,56,False,False
127,141,141,B,12,True,False
128,142,142,A,60,False,True
129,143,143,B,10,True,False
130,144,144,A,67,False,False
131,145,145,A,42,True,True
132,146,146,B,65,True,False
133,147,147,A,1,False,False
134,148,148,A,4,False,False
135,149,149,A,3,False,False
136,150,150,A,1,False,False
137,151,151,B,14,False,False
138,152,152,B,42,False,False
139,153,153,A,13,False,False
140,154,154,A,129,False,True
141,155,155,B,6,True,False
142,156,156,A,37,False,False
143,157,157,B,9,False,False
144,158,158,A,1,False,False
145,159,159,B,2,False,False
146,160,160,A,27,False,False
147,161,161,B,38,False,False
148,162,162,A,8,False,False
149,163,163,A,51,True,True
150,164,164,A,5,False,False
151,165,165,B,2,False,False
152,167,167,B,16,True,False
153,169,169,B,7,False,False
154,170,170,A,5,False,False
155,172,172,B,11,False,False
156,174,174,A,4,True,False
157,175,175,B,51,True,False
158,176,176,B,5,False,False
159,177,177,B,33,False,False
160,178,178,A,21,False,False
161,179,179,A,49,True,False
162,180,180,B,2,False,False
163,181,181,A,1,False,False
164,182,182,A,46,True,True
165,183,183,B,127,True,True
166,184,184,A,1,False,False
167,185,185,A,14,False,False
168,186,186,B,17,False,False
169,187,187,A,104,True,True
170,188,188,A,6,False,False
171,189,189,B,21,True,False
172,190,190,B,36,True,False
173,191,191,A,8,False,False
174,192,192,B,53,True,False
175,193,193,A,1,False,False
176,194,194,A,38,True,True
177,195,195,A,13,False,False
178,196,196,A,20,True,False
179,197,197,B,74,True,True
180,198,198,B,25,True,False
181,199,199,A,11,False,False
182,200,200,B,1,False,False
183,201,201,B,2,False,False
184,202,202,A,72,True,False
185,203,203,B,22,False,False
186,204,204,B,2,False,False
187,205,205,B,18,False,False
188,206,206,B,4,False,False
189,207,207,B,18,False,False
190,208,208,B,79,True,True
191,209,209,A,65,False,True
192,210,210,B,13,True,False
193,211,211,A,5,True,False
194,212,212,A,4,False,False
195,213,213,A,8,False,False
196,215,215,B,19,False,True
197,216,216,B,6,False,False
198,217,217,A,108,True,False
199,218,218,B,2,False,False
200,219,219,B,26,False,False
201,220,220,B,2,True,False
202,221,221,B,99,False,True
203,222,222,A,10,False,False
204,223,223,B,5,True,False
205,224,224,A,13,True,False
206,225,225,B,1,False,False
207,226,226,B,16,False,False
208,227,227,B,1,False,False
209,228,228,B,91,True,False
210,229,229,B,149,True,True
211,230,230,A,20,True,False
212,231,231,B,68,True,False
213,232,232,B,12,False,True
214,233,233,B,7,False,False
215,234,234,B,3,False,False
216,235,235,B,277,True,True
217,236,236,B,493,True,True
218,237,237,A,4,False,False
219,238,238,B,3,False,False
220,239,239,B,8,False,False
221,240,240,B,1,False,False
222,241,241,A,274,True,True
223,242,242,A,17,False,False
224,243,243,B,32,False,True
225,244,244,B,1,False,False
226,245,245,B,85,True,True
227,246,246,B,12,False,False
228,247,247,B,1,False,False
229,248,248,A,8,False,False
230,249,249,A,9,False,False
231,250,250,A,8,True,False
232,251,251,B,191,True,True
233,252,252,B,115,True,False
234,253,253,B,45,True,False
235,254,254,B,15,False,False
236,255,255,A,134,True,True
237,256,256,B,19,True,False
238,257,257,A,2,False,False
239,258,258,A,22,True,False
240,259,259,A,6,False,False
241,260,260,B,18,False,False
242,263,263,B,12,False,False
243,264,264,A,152,True,True
244,265,265,B,2,False,False
245,266,266,A,8,True,False
246,267,267,B,73,True,False
247,269,269,A,100,True,True
248,270,270,B,250,True,True
249,271,271,A,10,False,False
250,272,272,B,13,True,False
251,273,273,A,147,True,True
252,274,274,A,391,True,False
253,275,275,A,18,False,False
254,276,276,B,23,False,False
255,277,277,A,19,True,False
256,278,278,A,4,False,False
257,279,279,A,14,False,False
258,280,280,A,61,True,True
259,281,281,B,61,True,False
260,282,282,B,75,True,False
261,283,283,A,75,False,False
262,284,284,A,57,True,False
263,285,285,A,35,True,False
264,286,286,A,9,False,False
265,287,287,A,13,False,False
266,288,288,A,1,False,False
267,289,289,A,20,False,False
268,290,290,B,77,True,True
269,291,291,B,3,False,False
270,292,292,B,7,False,False
271,293,293,B,6,False,False
272,294,294,A,51,True,True
273,295,295,B,197,False,True
274,296,296,A,2,False,False
275,297,297,B,22,False,False
276,298,298,B,69,True,False
277,299,299,B,4,False,False
278,300,300,A,260,True,True
279,301,301,B,20,False,False
280,302,302,A,4,False,False
281,303,303,A,7,True,False
282,305,305,A,8,True,True
283,306,306,A,48,True,True
284,307,307,B,15,True,False
285,308,308,A,61,False,True
286,309,309,A,1,False,False
287,310,310,A,12,True,False
288,311,311,A,270,True,True
289,312,312,A,59,False,False
290,313,313,A,141,True,False
291,314,314,A,53,False,True
292,315,315,B,20,False,False
293,316,316,B,16,False,False
294,318,318,A,37,True,False
295,319,319,A,467,True,True
296,320,320,B,25,False,False
297,321,321,B,2,True,False
298,322,322,B,4,False,False
299,323,323,B,11,True,False
300,324,324,A,40,False,False
301,325,325,A,9,False,False
302,326,326,B,11,True,True
303,327,327,A,12,False,False
304,328,328,A,6,False,False
305,329,329,B,9,True,False
306,330,330,B,4,False,False
307,331,331,B,18,True,False
308,332,332,A,77,False,True
309,333,333,A,4,False,False
310,334,334,B,45,True,False
311,335,335,B,43,True,False
312,336,336,A,3,False,False
313,337,337,B,30,True,False
314,338,338,A,33,True,True
315,339,339,B,47,True,False
316,340,340,B,72,False,True
317,341,341,B,16,False,False
318,342,342,B,2,False,False
319,343,343,B,93,True,True
320,344,344,A,222,True,True
321,345,345,B,334,True,True
322,346,346,B,8,False,False
323,347,347,A,29,True,False
324,348,348,B,27,True,False
325,349,349,A,16,False,False
326,350,350,A,10,True,False
327,351,351,B,8,False,False
328,352,352,B,58,True,False
329,353,353,A,84,True,False
330,354,354,A,1,False,False
331,355,355,B,56,False,False
332,356,356,A,43,True,False
333,357,357,A,50,True,False
334,358,358,A,23,True,False
335,359,359,A,5,False,False
336,360,360,A,21,True,False
337,361,361,A,48,True,False
338,362,362,B,85,True,True
339,363,363,A,13,True,False
340,364,364,A,41,True,False
341,365,365,A,5,False,False
342,366,366,B,1,False,False
343,367,367,A,303,True,True
344,368,368,B,18,True,False
345,369,369,B,48,True,False
346,370,370,A,4,True,False
347,371,371,B,51,False,True
348,372,372,A,5,False,False
349,373,373,B,134,True,True
350,374,374,B,11,True,False
351,375,375,A,3,False,False
352,376,376,B,9,True,False
353,377,377,B,3,False,False
354,378,378,A,177,True,True
355,379,379,B,11,True,False
356,380,380,B,20,False,True
357,381,381,A,39,True,True
358,382,382,A,12,True,False
359,383,383,A,12,True,False
360,384,384,B,2,False,False
361,385,385,A,9,True,False
362,386,386,A,216,True,True
363,387,387,B,30,True,False
364,388,388,A,9,False,False
365,389,389,A,227,False,False
366,391,391,A,87,True,False
367,392,392,A,71,True,False
368,393,393,B,567,True,True
369,394,394,B,13,True,False
370,395,395,A,55,True,True
371,396,396,B,14,False,False
372,397,397,B,78,True,False
373,398,398,A,1,False,False
374,399,399,A,3,False,False
375,400,400,A,552,True,True
376,401,401,A,96,True,False
377,402,402,A,2,False,False
378,403,403,A,12,True,True
379,404,404,B,99,True,False
380,405,405,A,107,True,False
381,406,406,A,12,False,False
382,407,407,B,2,False,False
383,408,408,B,2,False,False
384,409,409,A,4,False,False
385,410,410,A,28,False,False
386,411,411,B,9,False,False
387,412,412,A,136,True,True
388,413,413,B,15,False,False
389,414,414,B,8,False,False
390,415,415,B,1,False,False
391,416,416,A,12,True,False
392,417,417,A,6,False,False
393,418,418,A,45,False,True
394,419,419,A,12,False,False
395,420,420,B,13,False,False
396,421,421,A,9,True,False
397,422,422,B,11,True,False
398,423,423,B,113,True,True
399,424,424,A,6,True,False
400,425,425,B,32,False,False
401,426,426,A,17,True,False
402,427,427,A,141,True,False
403,428,428,A,28,False,False
404,429,429,B,95,True,False
405,430,430,B,339,True,True
406,431,431,A,24,True,False
407,432,432,A,5,False,False
408,433,433,A,6,False,False
409,434,434,A,10,False,False
410,435,435,A,9,False,False
411,436,436,B,6,False,False
412,437,437,A,85,True,False
413,438,438,B,54,False,False
414,439,439,A,19,False,False
415,440,440,B,6,True,False
416,441,441,A,452,True,True
417,442,442,A,26,True,False
418,443,443,B,12,True,False
419,444,444,B,2,True,False
420,445,445,B,11,True,False
421,446,446,B,3,False,False
422,447,447,A,6,False,False
423,448,448,B,7,False,False
424,449,449,A,57,False,False
425,450,450,B,16,False,False
426,451,451,A,15,False,False
427,452,452,B,148,True,True
