,group,sum_gamerounds,retention_1,retention_7
0,A,3,False,False
1,A,38,True,False
2,B,165,True,False
3,B,1,False,False
4,B,179,True,True
5,B,187,True,True
6,A,0,False,False
7,B,2,False,False
8,B,108,True,True
9,B,153,True,False
10,B,3,False,True
11,A,0,False,False
12,B,30,True,False
13,A,39,True,False
14,A,305,True,True
15,A,73,True,False
16,A,14,True,False
17,A,204,True,True
18,A,108,True,True
19,B,1,False,False
20,B,9,True,False
21,A,5,True,False
22,B,45,True,False
23,A,105,False,True
24,A,4,False,False
25,A,3,False,False
26,A,0,False,False
27,B,80,True,True
28,B,4,False,False
29,A,5,False,False
30,B,53,True,True
31,A,37,True,False
32,A,13,True,False
33,A,50,False,False
34,B,202,True,True
35,B,0,False,False
36,A,23,False,False
37,A,0,False,False
38,A,103,False,False
39,A,27,False,False
40,B,15,False,False
41,A,0,False,False
42,B,1,False,False
43,B,49,True,False
44,A,7,False,False
45,A,386,True,True
46,B,25,True,False
47,A,1,False,False
48,A,13,True,False
49,A,12,True,False
50,B,6,False,False
51,A,25,True,False
52,A,29,True,False
53,A,136,True,False
54,A,105,True,True
55,B,10,True,False
56,B,76,False,False
57,B,138,False,False
58,A,0,False,False
59,A,94,True,True
60,B,1,False,False
61,A,0,False,False
62,B,26,True,False
63,B,127,True,False
64,B,6,False,False
65,B,4,False,False
66,A,21,False,False
67,B,297,True,True
68,B,108,True,True
69,A,45,True,False
70,B,33,False,False
71,B,0,False,False
72,A,80,False,False
73,A,21,False,False
74,B,3,False,False
75,A,139,True,True
76,A,14,False,False
77,A,50,True,False
78,B,14,False,False
79,B,14,False,False
80,A,9,False,False
81,B,3,False,False
82,A,0,False,False
83,A,10,False,False
84,B,4,False,False
85,A,5,True,False
86,A,2,False,False
87,A,0,False,False
88,A,3,True,False
89,B,10,True,False
90,A,19,False,True
91,B,0,False,False
92,B,5,False,False
93,B,16,True,False
94,B,95,True,False
95,B,3,False,False
96,A,8,False,False
97,B,8,False,False
98,B,1,False,False
99,B,3,False,False
100,B,1,False,False
101,A,6,False,False
102,B,106,False,True
103,A,22,True,False
104,B,1,False,False
105,A,11,False,False
106,B,4,False,False
107,B,21,False,False
108,B,8,False,False
109,A,246,True,True
110,B,0,False,False
111,B,6,False,False
112,A,16,False,False
113,B,49,True,False
114,B,54,True,True
115,A,66,True,True
116,A,0,False,False
117,A,122,True,True
118,A,75,True,False
119,A,3,False,False
120,B,17,False,False
121,A,1,True,False
122,A,24,False,False
123,A,3,False,False
124,A,11,True,False
125,B,7,False,False
126,A,47,True,False
127,B,1,False,False
128,B,4,False,False
129,A,31,True,False
130,A,13,False,False
131,A,22,True,False
132,A,6,True,False
133,B,1,False,False
134,B,2,False,False
135,A,24,True,False
136,A,6,False,False
137,B,6,False,False
138,A,24,True,False
139,B,9,False,False
140,B,34,False,False
141,B,56,False,False
142,B,12,True,False
143,A,60,False,True
144,B,10,True,False
145,A,67,False,False
146,A,42,True,True
147,B,65,True,False
148,A,1,False,False
149,A,4,False,False
150,A,3,False,False
151,A,1,False,False
152,B,14,False,False
153,B,42,False,False
154,A,13,False,False
155,A,129,False,True
156,B,6,True,False
157,A,37,False,False
158,B,9,False,False
159,A,1,False,False
160,B,2,False,False
161,A,27,False,False
162,B,38,False,False
163,A,8,False,False
164,A,51,True,True
165,A,5,False,False
166,B,2,False,False
167,A,0,False,False
168,B,16,True,False
169,B,0,False,False
170,B,7,False,False
171,A,5,False,False
172,B,0,False,False
173,B,11,False,False
174,B,0,False,False
175,A,4,True,False
176,B,51,True,False
177,B,5,False,False
178,B,33,False,False
179,A,21,False,False
180,A,49,True,False
181,B,2,False,False
182,A,1,False,False
183,A,46,True,True
184,B,127,True,True
185,A,1,False,False
186,A,14,False,False
187,B,17,False,False
188,A,104,True,True
189,A,6,False,False
190,B,21,True,False
191,B,36,True,False
192,A,8,False,False
193,B,53,True,False
194,A,1,False,False
195,A,38,True,True
196,A,13,False,False
197,A,20,True,False
198,B,74,True,True
199,B,25,True,False
200,A,11,False,False
201,B,1,False,False
202,B,2,False,False
203,A,72,True,False
204,B,22,False,False
205,B,2,False,False
206,B,18,False,False
207,B,4,False,False
208,B,18,False,False
209,B,79,True,True
210,A,65,False,True
211,B,13,True,False
212,A,5,True,False
213,A,4,False,False
214,A,8,False,False
215,A,0,False,False
216,B,19,False,True
217,B,6,False,False
218,A,108,True,False
219,B,2,False,False
220,B,26,False,False
221,B,2,True,False
222,B,99,False,True
223,A,10,False,False
224,B,5,True,False
225,A,13,True,False
226,B,1,False,False
227,B,16,False,False
228,B,1,False,False
229,B,91,True,False
230,B,149,True,True
231,A,20,True,False
232,B,68,True,False
233,B,12,False,True
234,B,7,False,False
235,B,3,False,False
236,B,277,True,True
237,B,493,True,True
238,A,4,False,False
239,B,3,False,False
240,B,8,False,False
241,B,1,False,False
242,A,274,True,True
243,A,17,False,False
244,B,32,False,True
245,B,1,False,False
246,B,85,True,True
247,B,12,False,False
248,B,1,False,False
249,A,8,False,False
250,A,9,False,False
251,A,8,True,False
252,B,191,True,True
253,B,115,True,False
254,B,45,True,False
255,B,15,False,False
256,A,134,True,True
257,B,19,True,False
258,A,2,False,False
259,A,22,True,False
260,A,6,False,False
261,B,18,False,False
262,A,0,False,False
263,A,0,False,False
264,B,12,False,False
265,A,152,True,True
266,B,2,False,False
267,A,8,True,False
268,B,73,True,False
269,A,0,False,False
270,A,100,True,True
271,B,250,True,True
272,A,10,False,False
273,B,13,True,False
274,A,147,True,True
275,A,391,True,False
276,A,18,False,False
277,B,23,False,False
278,A,19,True,False
279,A,4,False,False
280,A,14,False,False
281,A,61,True,True
282,B,61,True,False
283,B,75,True,False
284,A,75,False,False
285,A,57,True,False
286,A,35,True,False
287,A,9,False,False
288,A,13,False,False
289,A,1,False,False
290,A,20,False,False
291,B,77,True,True
292,B,3,False,False
293,B,7,False,False
294,B,6,False,False
295,A,51,True,True
296,B,197,False,True
297,A,2,False,False
298,B,22,False,False
299,B,69,True,False
300,B,4,False,False
301,A,260,True,True
302,B,20,False,False
303,A,4,False,False
304,A,7,True,False
305,A,0,False,False
306,A,8,True,True
307,A,48,True,True
308,B,15,True,False
309,A,61,False,True
310,A,1,False,False
311,A,12,True,False
312,A,270,True,True
313,A,59,False,False
314,A,141,True,False
315,A,53,False,True
316,B,20,False,False
317,B,16,False,False
318,A,0,False,False
319,A,37,True,False
320,A,467,True,True
321,B,25,False,False
322,B,2,True,False
323,B,4,False,False
324,B,11,True,False
325,A,40,False,False
326,A,9,False,False
327,B,11,True,True
328,A,12,False,False
329,A,6,False,False
330,B,9,True,False
331,B,4,False,False
332,B,18,True,False
333,A,77,False,True
334,A,4,False,False
335,B,45,True,False
336,B,43,True,False
337,A,3,False,False
338,B,30,True,False
339,A,33,True,True
340,B,47,True,False
341,B,72,False,True
342,B,16,False,False
343,B,2,False,False
344,B,93,True,True
345,A,222,True,True
346,B,334,True,True
347,B,8,False,False
348,A,29,True,False
349,B,27,True,False
350,A,16,False,False
351,A,10,True,False
352,B,8,False,False
353,B,58,True,False
354,A,84,True,False
355,A,1,False,False
356,B,56,False,False
357,A,43,True,False
358,A,50,True,False
359,A,23,True,False
360,A,5,False,False
361,A,21,True,False
362,A,48,True,False
363,B,85,True,True
364,A,13,True,False
365,A,41,True,False
366,A,5,False,False
367,B,1,False,False
368,A,303,True,True
369,B,18,True,False
370,B,48,True,False
371,A,4,True,False
372,B,51,False,True
373,A,5,False,False
374,B,134,True,True
375,B,11,True,False
376,A,3,False,False
377,B,9,True,False
378,B,3,False,False
379,A,177,True,True
380,B,11,True,False
381,B,20,False,True
382,A,39,True,True
383,A,12,True,False
384,A,12,True,False
385,B,2,False,False
386,A,9,True,False
387,A,216,True,True
388,B,30,True,False
389,A,9,False,False
390,A,227,False,False
391,A,0,False,False
392,A,87,True,False
393,A,71,True,False
394,B,567,True,True
395,B,13,True,False
396,A,55,True,True
397,B,14,False,False
398,B,78,True,False
399,A,1,False,False
400,A,3,False,False
401,A,552,True,True
402,A,96,True,False
403,A,2,False,False
404,A,12,True,True
405,B,99,True,False
406,A,107,True,False
407,A,12,False,False
408,B,2,False,False
409,B,2,False,False
410,A,4,False,False
411,A,28,False,False
412,B,9,False,False
413,A,136,True,True
414,B,15,False,False
415,B,8,False,False
416,B,1,False,False
417,A,12,True,False
418,A,6,False,False
419,A,45,False,True
420,A,12,False,False
421,B,13,False,False
422,A,9,True,False
423,B,11,True,False
424,B,113,True,True
425,A,6,True,False
426,B,32,False,False
427,A,17,True,False
428,A,141,True,False
429,A,28,False,False
430,B,95,True,False
431,B,339,True,True
432,A,24,True,False
433,A,5,False,False
434,A,6,False,False
435,A,10,False,False
436,A,9,False,False
437,B,6,False,False
438,A,85,True,False
439,B,54,False,False
440,A,19,False,False
441,B,6,True,False
442,A,452,True,True
443,A,26,True,False
444,B,12,True,False
445,B,2,True,False
446,B,11,True,False
447,B,3,False,False
448,A,6,False,False
449,B,7,False,False
450,A,57,False,False
451,B,16,False,False
452,A,15,False,False
453,B,148,True,True
454,B,57,True,False
455,B,3,True,False
456,A,163,True,True
457,B,47,True,False
458,A,54,False,False
459,B,2,False,False
460,A,220,True,True
461,B,63,True,True
462,B,25,True,False
463,A,0,False,False
464,A,1,False,False
465,A,2,False,False
466,B,84,True,True
467,B,60,False,False
468,A,216,True,True
469,B,17,True,False
470,A,290,True,True
471,B,3,False,False
472,B,24,True,False
473,B,5,False,False
474,A,18,False,False
475,A,5,False,False
476,A,20,False,False
477,B,9,True,False
478,B,15,True,False
479,B,4,False,False
480,B,87,True,True
481,B,86,True,False
482,B,0,False,False
483,B,4,False,False
484,A,356,False,False
485,A,10,True,False
486,B,3,False,True
487,A,0,False,False
488,B,0,False,False
489,A,3,False,False
490,A,34,True,True
491,A,34,False,False
492,A,0,False,False
493,A,117,True,True
494,A,23,False,True
495,A,34,True,False
496,B,8,False,False
497,B,20,True,False
498,B,54,True,True
499,A,4,False,False
500,B,76,False,True
501,B,55,True,False
502,B,3,False,False
503,B,2,False,False
504,A,22,True,False
505,A,15,True,True
506,B,3,False,False
507,B,4,False,False
508,B,298,True,True
509,A,338,True,True
510,B,1,False,False
511,B,12,False,False
512,B,7,False,False
513,B,5,False,False
514,A,16,False,False
515,A,9,True,False
516,B,4,False,False
517,B,115,True,True
518,A,170,True,True
519,A,174,True,True
520,A,21,False,False
521,B,4,False,False
522,B,6,False,False
523,A,6,False,False
524,A,22,False,False
525,B,12,False,False
526,B,2,False,False
527,B,2,False,False
528,A,70,True,False
529,A,0,False,False
530,A,3,False,False
531,A,25,False,False
532,B,141,True,True
533,B,47,True,True
534,A,1,False,False
535,A,32,False,False
536,B,3,False,False
537,B,10,False,False
538,A,2,False,False
539,B,2,True,False
540,A,15,False,False
541,B,543,True,True
542,A,10,False,False
543,B,54,True,False
544,A,202,True,True
545,B,2,False,False
546,B,41,False,False
547,A,15,False,False
548,A,54,False,False
549,B,5,True,False
550,B,22,True,False
551,B,399,True,True
552,A,13,True,False
553,B,29,True,False
554,A,38,True,True
555,B,0,False,False
556,B,19,True,False
557,A,23,False,False
558,A,237,True,True
559,B,25,True,False
560,B,85,True,False
561,A,0,False,False
562,A,11,False,False
563,B,1,False,False
564,A,7,True,False
565,A,33,True,True
566,A,18,False,False
567,B,14,False,False
568,B,18,False,False
569,B,11,True,False
570,B,26,True,False
571,A,6,False,False
572,B,65,True,False
573,B,16,True,False
574,B,17,False,False
575,A,139,False,True
576,A,0,False,False
577,A,24,True,False
578,A,23,False,False
579,A,7,False,False
580,B,29,False,False
581,A,4,False,False
582,A,3,False,False
583,A,19,False,False
584,A,2,False,False
585,A,12,False,False
586,B,1,False,False
587,A,0,False,False
588,A,6,False,False
589,B,5,False,False
590,B,67,True,False
591,B,36,True,True
592,B,2,False,False
593,A,1,False,False
594,B,33,True,False
595,A,9,True,False
596,A,179,True,True
597,A,1,False,False
598,A,202,True,True
599,A,9,True,False
600,B,43,False,False
601,A,902,True,True
602,A,6,False,False
603,B,22,False,False
604,A,1,False,False
605,A,9,True,True
606,A,4,True,False
607,A,1,False,False
608,B,15,False,True
609,A,1,False,False
610,B,125,True,False
611,B,24,False,False
612,B,1,False,True
613,A,269,True,False
614,B,31,True,False
615,A,510,True,False
616,B,62,False,False
617,B,5,False,False
618,A,16,False,False
619,B,10,False,False
620,A,4,False,False
621,B,28,False,False
622,A,46,True,False
623,B,1,False,False
624,B,4,False,False
625,B,13,True,False
626,A,9,False,False
627,A,18,False,False
628,B,15,False,False
629,B,1,False,False
630,A,3,False,False
631,A,12,False,False
632,B,8,False,False
633,B,0,False,False
634,B,18,True,False
635,A,7,False,False
636,B,52,False,True
637,A,0,False,False
638,B,136,True,False
639,A,5,False,False
640,B,474,True,True
641,B,5,False,False
642,A,26,True,False
643,B,83,True,False
644,A,1,False,False
645,B,1,False,False
646,B,121,False,False
647,B,105,True,True
648,B,2,False,False
649,A,20,True,False
650,A,46,False,False
651,A,5,False,False
652,B,80,True,True
653,B,210,True,True
654,B,16,True,False
655,A,1906,True,True
656,A,16,False,False
657,A,0,False,False
658,A,1,False,False
659,B,35,True,True
660,B,199,True,False
661,B,6,False,False
662,A,5,False,False
663,B,3,False,False
664,A,25,True,False
665,A,118,True,True
666,B,68,True,False
667,B,105,True,False
668,A,5,False,False
669,A,38,True,False
670,B,8,False,False
671,A,7,False,False
672,A,4,False,False
673,A,6,False,False
674,B,12,False,False
675,B,103,True,False
676,A,259,True,True
677,B,5,False,False
678,B,12,True,False
679,B,6,True,False
680,A,298,True,True
681,B,3,False,False
682,B,1,False,False
683,B,15,False,False
684,A,6,True,False
685,A,10,False,False
686,B,13,False,False
687,B,12,True,False
688,B,34,True,False
689,A,3,False,False
690,B,2,False,False
691,A,7,False,False
692,A,24,True,True
693,B,7,False,False
694,A,53,True,False
695,B,38,False,True
696,A,11,True,False
697,B,98,True,False
698,B,4,False,False
699,A,5,False,False
700,B,3,False,False
701,A,50,False,False
702,A,149,False,True
703,A,20,True,False
704,A,1,False,False
705,B,30,True,False
706,B,4,False,False
707,B,53,True,False
708,B,5,False,False
709,A,113,True,False
710,B,2,False,False
711,B,2,False,False
712,A,0,False,False
713,B,25,True,False
714,A,12,False,False
715,B,59,False,False
716,A,15,False,False
717,A,106,True,True
718,B,2,False,False
719,B,7,False,False
720,B,6,False,False
721,A,59,True,False
722,A,47,False,False
723,B,1,False,False
724,A,34,True,False
725,A,4,False,False
726,A,12,False,False
727,A,15,True,False
728,B,32,False,False
729,A,0,False,False
730,A,2,False,False
731,B,34,True,False
732,A,11,False,False
733,B,16,False,False
734,B,2,False,False
735,A,128,True,True
736,B,9,False,False
737,B,0,False,False
738,A,34,False,True
739,B,7,False,False
740,B,7,False,False
741,B,215,True,True
742,A,1,False,False
743,B,0,False,False
744,B,231,True,False
745,A,5,False,False
746,B,16,False,False
747,A,34,False,False
748,B,2,False,False
749,A,34,True,False
750,A,2,False,False
751,B,12,False,False
752,B,6,False,False
753,A,41,True,False
754,B,36,False,False
755,B,13,False,False
756,A,3,False,False
757,B,36,True,True
758,B,28,False,False
759,A,11,True,False
760,B,12,False,False
761,A,7,False,False
762,B,14,False,False
763,A,3,True,False
764,B,0,False,False
765,B,5,False,False
766,B,129,True,True
767,B,95,False,True
768,B,96,True,False
769,A,160,True,False
770,A,0,False,False
771,B,17,False,False
772,B,24,True,False
773,B,11,True,False
774,B,6,False,False
775,B,26,False,False
776,B,110,True,True
777,A,61,True,True
778,A,5,False,False
779,A,15,False,False
780,B,3,False,False
781,A,12,False,False
782,B,1,False,False
783,B,65,True,False
784,B,2,False,False
785,B,18,False,False
786,B,275,True,True
787,A,19,False,True
788,A,26,False,False
789,A,46,False,False
790,B,3,False,False
791,A,40,True,False
792,B,13,False,False
793,B,8,False,False
794,B,2,False,False
795,B,3,False,False
796,B,4,False,False
797,A,37,True,False
798,B,11,False,False
799,A,22,True,False
800,B,55,False,True
801,A,20,True,False
802,A,197,True,True
803,B,44,False,False
804,A,133,True,False
805,B,0,False,False
806,B,2,False,False
807,A,21,False,False
808,A,2,False,False
809,A,5,False,False
810,B,2,False,False
811,B,14,False,False
812,A,0,False,False
813,A,44,False,True
814,A,14,False,False
815,A,76,True,False
816,A,52,True,False
817,B,88,True,True
818,A,36,True,False
819,B,66,True,False
820,B,70,False,False
821,A,2,False,False
822,B,44,False,False
823,B,98,True,False
824,A,18,False,False
825,A,9,False,False
826,B,6,False,False
827,A,3,True,False
828,B,2,False,False
829,B,54,False,False
830,B,4,False,False
831,B,13,False,True
832,A,0,False,False
833,B,8,False,False
834,A,10,True,False
835,A,18,False,False
836,B,0,False,False
837,A,33,False,False
838,B,9,False,False
839,A,6,False,True
840,A,2,False,False
841,A,79,True,True
842,B,9,False,False
843,A,1,False,False
844,B,35,True,True
845,A,4,False,False
846,A,9,False,False
847,A,43,True,False
848,A,42,True,False
849,B,6,True,True
850,A,282,True,True
851,A,11,False,False
852,B,42,False,True
853,A,16,False,False
854,B,132,False,True
855,A,49,True,True
856,A,95,True,True
857,B,3,False,False
858,A,183,True,False
859,B,24,False,False
860,B,112,True,True
861,A,70,True,True
862,A,332,True,True
863,B,100,True,True
864,A,3,False,False
865,A,798,True,True
866,B,4,False,False
867,A,0,False,False
868,A,27,True,False
869,B,41,True,False
870,A,81,True,True
871,B,49,True,False
872,A,142,True,True
873,A,31,False,False
874,A,5,True,False
875,B,35,False,False
876,B,4,False,False
877,A,3,False,False
878,A,16,False,False
879,A,12,False,False
880,B,48,True,False
881,A,8,True,False
882,B,6,True,False
883,B,13,False,False
884,B,35,True,False
885,A,4,False,False
886,B,9,True,False
887,A,7,True,False
888,B,27,True,False
889,B,83,True,False
890,B,3,False,False
891,A,3,False,False
892,B,3,False,False
893,A,143,False,True
894,B,39,True,True
895,B,114,True,True
896,A,71,True,False
897,A,13,False,False
898,B,63,True,True
899,A,75,True,False
900,A,27,True,False
901,B,15,False,False
902,A,8,False,False
903,B,17,True,False
904,A,95,True,False
905,B,6,False,False
906,A,186,True,True
907,A,50,True,False
908,A,129,True,False
909,B,1,False,False
910,B,4,True,False
911,B,30,False,False
912,A,1,False,False
913,B,3,False,False
914,A,164,True,True
915,B,1,True,False
916,B,9,False,False
917,B,6,False,False
918,B,78,False,True
919,A,249,True,True
920,B,34,False,False
921,A,29,True,False
922,B,18,True,False
923,B,4,False,False
924,A,14,False,False
925,A,2,False,False
926,A,8,False,True
927,B,47,True,False
928,B,3,False,False
929,A,345,True,False
930,B,1,False,False
931,A,50,True,True
932,A,13,False,False
933,B,57,True,False
934,A,7,False,False
935,A,13,True,False
936,A,27,False,False
937,B,59,True,False
938,B,16,True,True
939,A,51,False,False
940,A,4,False,False
941,B,7,False,False
942,A,546,True,True
943,B,45,False,False
944,A,28,True,False
945,A,82,False,True
946,A,394,True,True
947,A,5,False,False
948,B,227,True,True
949,B,258,False,True
950,A,56,True,False
951,B,0,False,False
952,B,52,False,False
953,A,8,False,False
954,A,0,False,False
955,A,5,False,False
956,B,8,False,False
957,A,1,False,False
958,A,19,True,False
959,A,11,False,False
960,B,6,False,False
961,A,375,True,True
962,A,9,False,False
963,A,4,False,False
964,B,57,True,False
965,B,2,False,False
966,A,39,False,False
967,A,8,False,False
968,A,1,False,False
969,A,7,False,False
970,B,2,False,False
971,A,51,True,False
972,B,4,False,False
973,A,0,False,False
974,A,54,False,True
975,A,10,False,False
976,B,11,False,False
977,B,3,False,False
978,A,35,False,True
979,B,39,False,False
980,A,7,False,False
981,B,19,True,False
982,B,3,True,False
983,A,7,False,False
984,B,6,True,False
985,B,109,True,False
986,B,106,True,False
987,B,0,False,False
988,B,158,True,True
989,A,60,True,False
990,B,0,False,False
991,A,13,True,False
992,A,35,False,False
993,B,7,False,False
994,A,29,True,True
995,B,0,False,False
996,A,9,False,False
997,A,519,True,True
998,A,73,True,False
999,B,2,False,False
1000,A,0,False,True
1001,A,5,False,False
1002,A,10,False,False
1003,B,10,False,False
1004,A,5,True,False
1005,B,52,True,False
1006,B,56,True,False
1007,B,42,True,True
1008,A,26,False,False
1009,B,19,False,False
1010,A,20,True,False
1011,B,34,False,False
1012,B,1,False,False
1013,A,7,True,False
1014,B,77,False,False
1015,A,9,False,False
1016,B,0,False,False
1017,B,41,True,False
1018,A,26,True,False
1019,A,553,True,True
1020,B,11,False,False
1021,B,260,True,True
1022,A,86,True,True
1023,B,47,False,True
1024,A,175,True,False
1025,A,28,True,False
1026,A,11,False,False
1027,A,25,False,False
1028,B,44,True,True
1029,A,81,True,True
1030,B,47,True,False
1031,A,37,True,False
1032,A,11,True,False
1033,A,3,False,False
1034,A,2,False,False
1035,A,26,True,False
1036,B,2,False,False
1037,A,0,False,False
1038,A,8,False,False
1039,B,11,True,False
1040,A,23,False,False
1041,B,3,True,False
1042,A,123,False,True
1043,A,2,False,False
1044,B,104,True,False
1045,B,28,True,False
1046,B,1,False,False
1047,B,21,True,False
1048,B,3,False,False
1049,A,281,True,True
1050,B,19,True,False
1051,A,20,False,False
1052,A,240,False,True
1053,A,2,False,False
1054,B,69,True,True
1055,A,33,False,False
1056,A,15,False,False
1057,B,14,True,False
1058,A,45,True,False
1059,B,17,False,False
1060,B,275,True,True
1061,A,11,True,False
1062,A,317,True,False
1063,B,2,False,False
1064,B,1,False,False
1065,A,90,True,False
1066,A,15,True,False
1067,B,90,True,False
1068,B,14,False,False
1069,B,6,False,False
1070,A,190,True,False
1071,B,11,True,False
1072,A,142,True,True
1073,B,8,False,False
1074,A,50,False,False
1075,A,3,False,False
1076,B,6,False,False
1077,B,192,False,True
1078,A,8,False,False
1079,B,0,False,False
1080,A,28,False,False
1081,B,343,False,True
1082,A,6,True,False
1083,A,10,False,True
1084,A,2,True,False
1085,A,3,False,False
1086,B,11,False,False
1087,A,191,True,True
1088,A,2,False,False
1089,B,3,False,False
1090,A,45,False,False
1091,B,8,True,True
1092,B,20,True,False
1093,A,16,False,False
1094,A,18,False,False
1095,B,52,False,False
1096,A,3,False,False
1097,A,1374,True,True
1098,A,2,False,False
1099,B,3,False,False
1100,A,4,False,False
